,Id,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Heating QC,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Cars,Garage Area,Garage Qual,Garage Cond,Pool Area,Misc Val,SalePrice,Total Baths,totalsqft,is_remodelled,has_finished_garage,Detached Garage,Has Finished Basement,has_pool,has_fence,has_paved_drive,has_central_air,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Misc Feature_Gar2,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,age,age_cat
10,1044,527451290,160,21.0,1680,6,5,232.0,3,3,3.0,3.0,3,2,1,3,4,0,0.0,1.0,264.0,3.0,3.0,0,0,85400,2.0,1470.0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,5.0
11,2752,906380150,20,64.0,7488,7,5,0.0,4,3,4.0,3.0,5,2,1,4,6,0,0.0,2.0,632.0,3.0,3.0,0,0,183600,2.0,2579.0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2.0
12,807,906226060,70,120.0,26400,5,7,0.0,4,3,0.0,0.0,5,4,1,3,7,1,3.0,2.0,576.0,3.0,3.0,0,0,131000,1.0,2016.0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,142,14.0
13,1177,533236070,160,24.0,2645,8,5,456.0,4,3,4.0,3.0,5,3,1,4,7,0,0.0,2.0,480.0,3.0,3.0,0,0,200000,4.0,2736.0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,2.0
14,1480,907418040,20,74.0,9627,7,5,0.0,4,3,4.0,3.0,5,3,1,4,6,0,0.0,2.0,610.0,3.0,3.0,0,0,193000,2.0,2762.0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.0
15,324,923202105,20,93.0,10114,5,5,0.0,3,3,5.0,3.0,5,3,1,4,7,0,0.0,2.0,624.0,3.0,3.0,0,0,173500,2.0,2860.0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2.0
16,1311,902301140,70,34.0,4571,5,5,0.0,3,3,3.0,3.0,2,4,1,3,7,0,0.0,3.0,513.0,2.0,2.0,0,0,98000,1.0,2064.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,106,11.0
17,770,905101490,20,80.0,8816,5,6,0.0,3,3,3.0,3.0,3,3,1,3,5,0,0.0,2.0,480.0,3.0,3.0,0,0,139000,2.0,2322.0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59,6.0
18,2063,905107140,20,71.0,8197,6,5,148.0,3,3,3.0,3.0,5,3,1,3,7,1,3.0,2.0,528.0,3.0,3.0,0,0,143500,2.0,2083.0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,4.0
19,69,528458070,60,72.0,8640,7,5,0.0,3,3,4.0,3.0,5,3,1,4,7,0,0.0,2.0,614.0,3.0,3.0,0,0,215200,3.0,2517.0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1.0
20,2062,905106150,20,109.0,8724,5,5,0.0,3,3,4.0,3.0,4,3,1,3,5,1,1.0,2.0,450.0,3.0,3.0,0,0,129000,1.0,1788.0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,5.0
21,351,527131030,120,40.0,5664,8,5,0.0,4,3,4.0,3.0,5,2,1,5,5,1,5.0,2.0,499.0,3.0,3.0,0,0,278000,3.0,3431.0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,2.0
22,2393,528142010,60,103.0,12867,8,5,0.0,4,3,5.0,3.0,5,3,1,5,8,1,4.0,2.0,575.0,3.0,3.0,0,0,344133,3.0,3847.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,2.0
23,12,527165230,20,0.0,7980,6,7,0.0,3,4,4.0,3.0,5,3,1,3,6,0,0.0,2.0,420.0,3.0,3.0,0,500,185000,3.0,2859.0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3.0
24,2339,527250040,190,100.0,34650,5,5,0.0,3,3,3.0,3.0,3,3,1,3,5,0,0.0,2.0,572.0,3.0,3.0,0,0,145000,2.0,2376.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,7.0
25,624,535104120,20,92.0,10573,6,6,3.0,3,3,3.0,3.0,5,3,1,3,6,1,3.0,2.0,530.0,3.0,3.0,0,0,187500,3.0,3243.0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,6.0
26,86,532376160,20,65.0,8450,5,8,0.0,3,4,3.0,3.0,5,3,1,3,5,1,4.0,1.0,336.0,3.0,3.0,0,0,138500,2.0,2348.0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57,6.0
27,1534,909277040,50,0.0,11700,5,6,0.0,3,3,3.0,3.0,5,4,1,4,7,1,4.0,1.0,240.0,3.0,3.0,0,0,198000,2.0,2920.0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,8.0
28,2243,911103060,190,75.0,8250,5,6,0.0,3,4,3.0,3.0,2,4,2,3,9,0,0.0,0.0,0.0,,,0,0,119600,2.0,3081.0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,13.0
29,1957,535450190,50,60.0,8064,5,7,0.0,3,4,3.0,3.0,5,3,1,3,6,1,1.0,2.0,576.0,3.0,3.0,0,2000,122900,1.0,1596.0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73,7.0
30,380,527355150,20,80.0,9600,8,5,0.0,4,3,4.0,3.0,3,4,1,4,9,1,4.0,2.0,542.0,3.0,3.0,0,0,278000,4.0,5642.0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,4.0
31,2860,909276010,70,0.0,11435,8,7,0.0,3,3,4.0,3.0,2,3,1,4,7,2,4.0,2.0,400.0,3.0,3.0,0,0,230000,1.0,2309.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,9.0
32,2517,533250130,120,30.0,9549,8,5,0.0,4,4,4.0,4.0,5,2,1,5,6,1,4.0,2.0,481.0,3.0,3.0,0,0,270000,3.0,3234.0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,3.0
33,1933,535302070,20,60.0,10950,6,6,0.0,3,3,3.0,3.0,3,2,1,3,5,0,0.0,2.0,410.0,3.0,3.0,0,0,125000,1.0,1944.0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,7.0
34,820,906340110,20,79.0,10637,8,5,336.0,4,3,5.0,3.0,5,3,1,4,7,1,4.0,3.0,826.0,3.0,3.0,0,0,297000,3.0,3675.0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.0
35,675,535426150,20,80.0,9000,6,6,82.0,3,3,4.0,3.0,2,2,1,3,5,1,4.0,1.0,384.0,3.0,3.0,0,0,113500,1.0,1394.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64,6.0
36,2910,923225240,160,41.0,2665,5,6,0.0,3,3,3.0,3.0,5,4,1,3,6,1,3.0,1.0,336.0,3.0,3.0,0,0,127000,2.0,2362.0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4.0
37,21,527358140,20,105.0,11751,6,6,480.0,3,3,4.0,3.0,5,3,1,3,7,1,3.0,2.0,546.0,3.0,3.0,0,0,190000,2.0,3810.0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,4.0
38,1873,534177210,20,80.0,9600,7,6,320.0,3,3,3.0,3.0,2,3,1,3,6,1,3.0,2.0,528.0,3.0,3.0,0,0,175500,2.0,2484.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,5.0
39,2125,907135050,20,60.0,8428,5,7,0.0,3,4,4.0,4.0,5,3,1,3,5,0,0.0,1.0,384.0,3.0,3.0,0,0,146000,2.0,2236.0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3.0
40,1489,908102260,20,75.0,9937,5,6,0.0,4,3,3.0,3.0,4,3,1,3,6,0,0.0,1.0,276.0,3.0,3.0,0,0,147500,3.0,3316.0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,6.0
41,2383,528110050,20,107.0,13891,10,5,0.0,5,3,5.0,4.0,5,2,1,5,7,1,4.0,3.0,850.0,3.0,3.0,0,0,465000,4.0,4597.0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,2.0
42,983,923275040,85,0.0,9101,5,6,104.0,3,4,4.0,3.0,5,1,1,4,4,1,3.0,2.0,602.0,3.0,3.0,0,0,165500,2.0,2540.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4.0
43,1325,902406090,50,81.0,12150,5,5,335.0,3,3,3.0,3.0,5,4,1,3,7,0,0.0,1.0,352.0,2.0,3.0,0,0,131500,2.0,2845.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,7.0
44,1378,905102170,20,70.0,11200,5,5,0.0,3,3,3.0,3.0,5,3,1,3,5,0,0.0,1.0,384.0,3.0,3.0,0,0,129500,2.0,2080.0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57,6.0
45,1537,909281110,70,100.0,9670,8,6,40.0,3,3,3.0,2.0,3,4,1,3,9,2,4.0,2.0,786.0,2.0,3.0,0,0,257076,2.0,2688.0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,9.0
46,905,909101140,50,60.0,10998,5,5,0.0,3,3,3.0,3.0,5,3,1,3,6,0,0.0,2.0,660.0,3.0,3.0,0,0,117000,2.0,2656.0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,8.0
47,1532,909275050,70,60.0,7200,7,6,0.0,3,2,4.0,3.0,3,3,1,3,6,1,4.0,1.0,270.0,3.0,3.0,0,0,149000,2.0,2390.0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,9.0
48,132,534475100,20,80.0,9920,5,5,110.0,3,3,3.0,3.0,3,3,1,3,6,0,0.0,1.0,280.0,3.0,3.0,0,0,128000,2.0,2283.0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,7.0
49,1078,528188090,160,36.0,2448,7,5,106.0,4,3,4.0,3.0,5,2,1,4,6,0,0.0,2.0,474.0,3.0,3.0,0,0,155000,3.0,2417.0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,2.0
50,2511,533221080,160,0.0,2998,6,5,513.0,4,3,4.0,3.0,5,2,1,4,4,0,0.0,2.0,440.0,3.0,3.0,0,0,166000,3.0,2312.0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,2.0
51,912,909250220,50,65.0,7804,4,3,0.0,3,3,3.0,3.0,3,4,1,4,7,2,3.0,2.0,576.0,3.0,3.0,0,0,135000,3.0,3578.0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94,9.0
52,2351,527356020,60,80.0,16692,7,5,184.0,3,3,4.0,3.0,3,5,1,4,12,2,3.0,2.0,564.0,3.0,3.0,519,2000,250000,5.0,4728.0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,4.0
53,330,923226250,160,21.0,1476,4,7,0.0,3,3,3.0,3.0,5,3,1,3,5,0,0.0,0.0,0.0,,,0,0,76000,2.0,1864.0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5.0
54,2586,535305120,20,75.0,10170,6,6,522.0,3,3,3.0,3.0,3,2,1,4,5,1,4.0,2.0,400.0,3.0,3.0,0,0,155000,2.0,1791.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,7.0
55,224,905106140,60,80.0,9364,6,7,143.0,3,3,3.0,3.0,3,4,1,3,7,0,0.0,1.0,299.0,3.0,3.0,0,0,158000,2.0,2430.0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,5.0
56,98,533212020,160,24.0,2544,7,5,0.0,4,3,4.0,3.0,5,2,1,4,4,0,0.0,2.0,480.0,3.0,3.0,0,0,149500,4.0,1972.0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,2.0
